Topic Name (Required),Topic Description (Optional),Topic Type (Optional),Native Text (Required),Native Context Line (Optional),Translation Text (Required),Translation Context Line (Optional),Translation Hint (Optional),Pronunciation Override (Optional)
School & Work,,,紙,Writing surface,paper,,kami,
School & Work,,,机,Work surface,desk,,tsukue,
School & Work,,,椅子,Seating,chair,,isu,
School & Work,,,教室,Learning space,classroom,,kyoushitsu,
School & Work,,,宿題,Academic task,homework,,shukudai,
School & Work,,,試験,Academic assessment,exam/test,,shiken,
School & Work,,,仕事,Professional activity,job/work,,shigoto,
Body Parts,Basic human body vocabulary,0 – Vocab,頭,Upper body part,head,,atama,
Body Parts,,,目,Facial feature,eye,,me,
Body Parts,,,鼻,Facial feature,nose,,hana,
Body Parts,,,口,Facial feature,mouth,,kuchi,
Body Parts,,,耳,Hearing organ,ear,,mimi,
Body Parts,,,手,Upper limb,hand,,te,
Body Parts,,,足,Lower limb,foot/leg,,ashi,
Body Parts,,,顔,Facial area,face,,kao,
Body Parts,,,髪,Head covering,hair,,kami,
Common Phrases,Useful daily conversation expressions,2 – Phrases,はい,Affirmative response,yes,,hai,
Common Phrases,,,いいえ,Negative response,no,,iie,
Common Phrases,,,分かりません,Lack of understanding,I don't understand,,wakarimasen,
Common Phrases,,,ちょっと待ってください,Request for patience,Please wait a moment,,chotto matte kudasai,
Common Phrases,,,お疲れ様でした,Work appreciation,Thank you for your hard work,,otsukaresama deshita,
Common Phrases,,,いただきます,Pre-meal ritual,Let's eat (gratitude),,itadakimasu,
Common Phrases,,,ごちそうさまでした,Post-meal gratitude,Thank you for the meal,,gochisousama deshita,
Common Phrases,,,お元気ですか,Health inquiry,How are you?,,ogenki desu ka,
Common Phrases,,,大丈夫です,Reassurance,I'm okay/It's fine,,daijoubu desu,
Common Phrases,,,どういたしまして,Polite response,You're welcome,,douitashimashite,
Useful Daily Words,Common words not in JLPT N5 but helpful for daily life,0 – Vocab,Wi-Fi,Internet connection,wireless internet,,waifai,
Useful Daily Words,,,スマホ,Mobile device,smartphone,,sumaho,
Useful Daily Words,,,コンビニ,Convenience store,convenience store,,konbini,
Useful Daily Words,,,エレベーター,Vertical transport,elevator,,erebeetaa,
Useful Daily Words,,,エスカレーター,Moving stairs,escalator,,esukareetaa,
Useful Daily Words,,,ATM,Cash machine,ATM,,eetiiemu,
Useful Daily Words,,,チケット,Entry pass,ticket,,chiketto,
Useful Daily Words,,,パスポート,Travel document,passport,,pasupooto,
Useful Daily Words,,,クレジットカード,Payment method,credit card,,kurejitto kaado,
Useful Daily Words,,,メニュー,Food list,menu,,menyuu,
Useful Daily Words,,,サイズ,Measurement,size,,saizu,
Useful Daily Words,,,セール,Discount event,sale,,seeru,
Useful Daily Words,,,アレルギー,Medical condition,allergy,,arerugiі,
Useful Daily Words,,,ベジタリアン,Dietary preference,vegetarian,,bejitarian,
Useful Daily Words,,,お手洗い,Polite restroom term,restroom/toilet,,otearai,
