Topic Name (Required),Topic Description (Optional),Topic Type (Optional),Native Text (Required),Native Context Line (Optional),Translation Text (Required),Translation Context Line (Optional),Translation Hint (Optional),Pronunciation Override (Optional)
Numbers & Counters,,,three,,三,,さん,さん
Numbers & Counters,,,four,,四,,よん,よん
Numbers & Counters,,,five,,五,,ご,ご
Numbers & Counters,,,six,,六,,ろく,ろく
Numbers & Counters,,,seven,,七,,なな,なな
Numbers & Counters,,,eight,,八,,はち,はち
Numbers & Counters,,,nine,,九,,きゅう,きゅう
Numbers & Counters,,,ten,,十,,じゅう,じゅう
Numbers & Counters,,,hundred,,百,,ひゃく,ひゃく
Numbers & Counters,,,thousand,,千,,せん,せん
Numbers & Counters,,,ten thousand,,万,,まん,まん
Numbers & Counters,,,yen (currency),,円,,えん,えん
Numbers & Counters,,,one person,,一人,Special reading; not いちにん,ひとり,ひとり
Numbers & Counters,,,two people,,二人,Special reading; not ににん,ふたり,ふたり
Numbers & Counters,,,~ people (counter),,〜人,Used for 3+ people,〜にん,〜にん
Numbers & Counters,,,how old; what age,,何歳,,なんさい,なんさい
Time & Date,"Days of the week, months of the year, and other time-related words.",0 - Vocab,Monday,,月曜日,,げつようび,げつようび
Time & Date,,,Tuesday,,火曜日,,かようび,かようび
Time & Date,,,Wednesday,,水曜日,,すいようび,すいようび
Time & Date,,,Thursday,,木曜日,,もくようび,もくようび
Time & Date,,,Friday,,金曜日,,きんようび,きんようび
Time & Date,,,Saturday,,土曜日,,どようび,どようび
Time & Date,,,Sunday,,日曜日,,にちようび,にちようび
Time & Date,,,1st (day of month),,一日,Special reading; not いちにち,ついたち,ついたち
Time & Date,,,2nd (day of month),,二日,Special reading; not ににち,ふつか,ふつか
Time & Date,,,4th (day of month),,四日,Special reading; not よんにち,よっか,よっか
Time & Date,,,5th (day of month),,五日,Special reading; not ごにち,いつか,いつか
Time & Date,,,6th (day of month),,六日,Special reading; not ろくにち,むいか,むいか
Time & Date,,,7th (day of month),,七日,Special reading; not ななにち,なのか,なのか
Time & Date,,,8th (day of month),,八日,Special reading; not はちにち,ようか,ようか
Time & Date,,,10th (day of month),,十日,Special reading; not じゅうにち,とおか,とおか
Time & Date,,,14th (day of month),,十四日,Special reading; not じゅうよんにち,じゅうよっか,じゅうよっか
Time & Date,,,20th (day of month),,二十日,Special reading; not にじゅうにち,はつか,はつか
Time & Date,,,January,,一月,,いちがつ,いちがつ
Time & Date,,,February,,二月,,にがつ,にがつ
Time & Date,,,March,,三月,,さんがつ,さんがつ
Time & Date,,,April,,四月,,しがつ,しがつ
Time & Date,,,May,,五月,,ごがつ,ごがつ
Time & Date,,,June,,六月,,ろくがつ,ろくがつ
Time & Date,,,July,,七月,,しちがつ,しちがつ
Time & Date,,,August,,八月,,はちがつ,はちがつ
Time & Date,,,September,,九月,,くがつ,くがつ
Time & Date,,,October,,十月,,じゅうがつ,じゅうがつ
Time & Date,,,November,,十一月,,じゅういちがつ,じゅういちがつ
Time & Date,,,December,,十二月,,じゅうにがつ,じゅうにがつ
Time & Date,,,now,,今,,いま,いま
Time & Date,,,today,,今日,Special reading; not いまひ,きょう,きょう
Time & Date,,,tomorrow,,明日,Special reading; not あきひ,あした,あした
Time & Date,,,yesterday,,昨日,Special reading; not さくひ,きのう,きのう
Time & Date,,,every day,,毎日,,まいにち,まいにち
Time & Date,,,this week,,今週,,こんしゅう,こんしゅう
Time & Date,,,last week,,先週,,せんしゅう,せんしゅう
Time & Date,,,next week,,来週,,らいしゅう,らいしゅう
Time & Date,,,this year,,今年,,ことし,ことし
Time & Date,,,last year,,去年,,きょねん,きょねん
Time & Date,,,next year,,来年,,らいねん,らいねん
Time & Date,,,o'clock / hour,,時,,じ,じ
Time & Date,,,minute,,分,Special reading; not ぶん,ふん,ふん
Time & Date,,,half (past),,半,Used in time expressions like 三時半 (3:30),はん,はん
Time & Date,,,AM (morning),,午前,,ごぜん,ごぜん
Time & Date,,,PM (afternoon),,午後,,ごご,ごご
Directions & Positions,Words for directions and relative positions.,0 - Vocab,up; above; on,,上,,うえ,うえ
Directions & Positions,,,down; under; below,,下,,した,した
Directions & Positions,,,left,,左,,ひだり,ひだり
Directions & Positions,,,right,,右,,みぎ,みぎ
Directions & Positions,,,front; before,,前,,まえ,まえ
Directions & Positions,,,back; behind,,後ろ,,うしろ,うしろ
Directions & Positions,,,inside; middle,,中,,なか,なか
Directions & Positions,,,outside,,外,,そと,そと
Directions & Positions,,,next to; neighboring,,隣,,となり,となり
Directions & Positions,,,near; nearby,,近く,,ちかく,ちかく
Directions & Positions,,,far away,,遠く,,とおく,とおく
Directions & Positions,,,east,,東,,ひがし,ひがし
Directions & Positions,,,west,,西,,にし,にし
Directions & Positions,,,south,,南,,みなみ,みなみ
Directions & Positions,,,north,,北,,きた,きた
Places & Transportation,Common locations and transportation terms.,0 - Vocab,train station,,駅,,えき,えき
Places & Transportation,,,airport,,空港,,くうこう,くうこう
Places & Transportation,,,hospital,,病院,,びょういん,びょういん
Places & Transportation,,,bank,,銀行,,ぎんこう,ぎんこう
Places & Transportation,,,post office,,郵便局,,ゆうびんきょく,ゆうびんきょく
Places & Transportation,,,park,,公園,,こうえん,こうえん
Places & Transportation,,,shop; store,,店,,みせ,みせ
Places & Transportation,,,coffee shop; café,,喫茶店,,きっさてん,きっさてん
Places & Transportation,,,restaurant,,レストラン,,,
Places & Transportation,,,department store,,デパート,,,
Places & Transportation,,,movie theater,,映画館,,えいがかん,えいがかん
Places & Transportation,,,town; city,,町,,まち,まち
Places & Transportation,,,car; automobile,,車,,くるま,くるま
Places & Transportation,,,bicycle,,自転車,,じてんしゃ,じてんしゃ
Places & Transportation,,,train (electric),,電車,,でんしゃ,でんしゃ
Places & Transportation,,,bus,,バス,,,
Places & Transportation,,,bus stop,,バス停,,バスてい,バスてい
Places & Transportation,,,taxi,,タクシー,,,
Places & Transportation,,,airplane,,飛行機,,ひこうき,ひこうき
Places & Transportation,,,boat; ship,,船,,ふね,ふね
Places & Transportation,,,road; way,,道,,みち,みち
Places & Transportation,,,police box,,交番,,こうばん,こうばん
Places & Transportation,,,hotel,,ホテル,,,
Food & Drink,"Common words for food, drinks, and meals.",0 - Vocab,cooked rice / meal,,ご飯,,ごはん,ごはん
Food & Drink,,,bread,,パン,,,
Food & Drink,,,meat,,肉,,にく,にく
Food & Drink,,,fish,,魚,,さかな,さかな
Food & Drink,,,vegetable,,野菜,,やさい,やさい
Food & Drink,,,fruit,,果物,,くだもの,くだもの
Food & Drink,,,egg,,卵,,たまご,たまご
Food & Drink,,,sugar,,砂糖,,さとう,さとう
Food & Drink,,,salt,,塩,,しお,しお
Food & Drink,,,soy sauce,,醤油,,しょうゆ,しょうゆ
Food & Drink,,,water,,水,,みず,みず
Food & Drink,,,tea,,お茶,,おちゃ,おちゃ
Food & Drink,,,coffee,,コーヒー,,,
Food & Drink,,,milk,,牛乳,,ぎゅうにゅう,ぎゅうにゅう
Food & Drink,,,juice,,ジュース,,,
Food & Drink,,,alcohol; sake,,お酒,,おさけ,おさけ
Food & Drink,,,breakfast,,朝ご飯,,あさごはん,あさごはん
Food & Drink,,,lunch,,昼ご飯,,ひるごはん,ひるごはん
Food & Drink,,,dinner,,晩ご飯,,ばんごはん,ばんごはん
Basic Verbs,"The most fundamental verbs for beginners, presented in dictionary form.",0 - Vocab,to do,,する,Irregular verb; fundamental auxiliary,する,する
Basic Verbs,,,to go,,行く,,いく,いく
Basic Verbs,,,to come,,来る,Irregular verb,くる,くる
Basic Verbs,,,to return (home),,帰る,,かえる,かえる
Basic Verbs,,,to see; to watch,,見る,,みる,みる
Basic Verbs,,,to listen; to hear,,聞く,,きく,きく
Basic Verbs,,,to speak; to talk,,話す,,はなす,はなす
Basic Verbs,,,to say,,言う,,いう,いう
Basic Verbs,,,to eat,,食べる,,たべる,たべる
Basic Verbs,,,to drink,,飲む,,のむ,のむ
Basic Verbs,,,to buy,,買う,,かう,かう
Basic Verbs,,,to sell,,売る,,うる,うる
Basic Verbs,,,to write,,書く,,かく,かく
Basic Verbs,,,to read,,読む,,よむ,よむ
Basic Verbs,,,to meet,,会う,,あう,あう
Basic Verbs,,,to play; to hang out,,遊ぶ,,あそぶ,あそぶ
Basic Verbs,,,to make; to create,,作る,,つくる,つくる
Basic Verbs,,,to use,,使う,,つかう,つかう
Basic Verbs,,,to work,,働く,,はたらく,はたらく
Basic Verbs,,,to rest; to take a break,,休む,,やすむ,やすむ
Basic Verbs,,,to get up; to wake up,,起きる,,おきる,おきる
Basic Verbs,,,to sleep; to go to bed,,寝る,,ねる,ねる
Basic Verbs,,,to stand up,,立つ,,たつ,たつ
Basic Verbs,,,to sit down,,座る,,すわる,すわる
Basic Verbs,,,to run,,走る,,はしる,はしる
Basic Verbs,,,to swim,,泳ぐ,,およぐ,およぐ
Basic Verbs,,,to open (something),,開ける,Transitive,あける,あける
Basic Verbs,,,to close (something),,閉める,Transitive,しめる,しめる
Basic Verbs,,,to enter; to go into,,入る,,はいる,はいる
Basic Verbs,,,to leave; to exit,,出る,,でる,でる
Basic Verbs,,,to understand,,分かる,,わかる,わかる
Basic Verbs,,,to give,,あげる,Used when giving to equals or juniors,あげる,あげる
Basic Verbs,,,to receive,,もらう,,もらう,もらう
Basic Verbs,,,to wait,,待つ,,まつ,まつ
Basic Verbs,,,to take (a photo),,撮る,,とる,とる
Basic Verbs,,,to forget,,忘れる,,わすれる,わすれる
Basic Verbs,,,to know,,知る,State; often used as 知っている,しる,しる
Basic Verbs,,,to walk,,歩く,,あるく,あるく
Basic Verbs,,,to teach/to tell,,教える,,おしえる,おしえる
Basic Verbs,,,to learn/memorize,,覚える,,おぼえる,おぼえる
Basic Verbs,,,to learn (from someone),,習う,,ならう,ならう
Basic Verbs,,,to wash,,洗う,,あらう,あらう
Basic Verbs,,,to cut,,切る,,きる,きる
Basic Verbs,,,to put/place,,置く,,おく,おく
Basic Verbs,,,to start/begin (transitive),,始める,Transitive,はじめる,はじめる
Basic Verbs,,,to finish/end (intransitive),,終わる,Intransitive,おわる,おわる
Basic Verbs,,,to put in/insert,,入れる,Transitive,いれる,いれる
Basic Verbs,,,to take out,,出す,Transitive,だす,だす
Basic Verbs,,,to hold/carry,,持つ,,もつ,もつ
Basic Verbs,,,to get on/ride,,乗る,,のる,のる
Basic Verbs,,,to get off,,降りる,,おりる,おりる
Basic Verbs,,,to open (intransitive),,開く,Intransitive,あく,あく
Basic Verbs,,,to close (intransitive),,閉まる,Intransitive,しまる,しまる
Basic Verbs,,,to live/reside,,住む,,すむ,すむ
Basic Adjectives & Colors,Common adjectives and color words.,0 - Vocab,big; large,,大きい,,おおきい,おおきい
Basic Adjectives & Colors,,,small; little,,小さい,,ちいさい,ちいさい
Basic Adjectives & Colors,,,long,,長い,,ながい,ながい
Basic Adjectives & Colors,,,short (length),,短い,,みじかい,みじかい
Basic Adjectives & Colors,,,tall; high; expensive,,高い,,たかい,たかい
Basic Adjectives & Colors,,,low; short (height),,低い,,ひくい,ひくい
Basic Adjectives & Colors,,,new,,新しい,,あたらしい,あたらしい
Basic Adjectives & Colors,,,old (not for people),,古い,,ふるい,ふるい
Basic Adjectives & Colors,,,good,,いい / よい,,,
Basic Adjectives & Colors,,,bad,,悪い,,わるい,わるい
Basic Adjectives & Colors,,,interesting; amusing,,面白い,,おもしろい,おもしろい
Basic Adjectives & Colors,,,fun; enjoyable,,楽しい,,たのしい,たのしい
Basic Adjectives & Colors,,,busy,,忙しい,,いそがしい,いそがしい
Basic Adjectives & Colors,,,pretty; clean,,きれい,,,
Basic Adjectives & Colors,,,healthy; energetic; fine,,元気,Na-adjective,げんき,げんき
Basic Adjectives & Colors,,,quiet,,静か,Na-adjective,しずか,しずか
Basic Adjectives & Colors,,,famous,,有名,Na-adjective,ゆうめい,ゆうめい
Basic Adjectives & Colors,,,convenient,,便利,Na-adjective,べんり,べんり
Basic Adjectives & Colors,,,easy; simple,,簡単,Na-adjective,かんたん,かんたん
Basic Adjectives & Colors,,,difficult; hard,,難しい,,むずかしい,むずかしい
Basic Adjectives & Colors,,,hot (weather),,暑い,,あつい,あつい
Basic Adjectives & Colors,,,cold (weather),,寒い,,さむい,さむい
Basic Adjectives & Colors,,,hot (to the touch),,熱い,,あつい,あつい
Basic Adjectives & Colors,,,cold (to the touch),,冷たい,,つめたい,つめたい
Basic Adjectives & Colors,,,warm,,暖かい,,あたたかい,あたたかい
Basic Adjectives & Colors,,,cool (weather),,涼しい,,すずしい,すずしい
Basic Adjectives & Colors,,,red,,赤い,,あかい,あかい
Basic Adjectives & Colors,,,blue,,青い,,あおい,あおい
Basic Adjectives & Colors,,,white,,白い,,しろい,しろい
Basic Adjectives & Colors,,,black,,黒い,,くろい,くろい
Basic Adjectives & Colors,,,yellow,,黄色い,,きいろい,きいろい
Basic Adjectives & Colors,,,green,,緑,Noun; use with の for adjective,みどり,みどり
Basic Adjectives & Colors,,,early/fast,,早い,,はやい,はやい
Basic Adjectives & Colors,,,late/slow,,遅い,,おそい,おそい
Basic Adjectives & Colors,,,wide/spacious,,広い,,ひろい,ひろい
Basic Adjectives & Colors,,,narrow,,狭い,,せまい,せまい
Basic Adjectives & Colors,,,lively; bustling,,賑やか,Na-adjective,にぎやか,にぎやか
Basic Adjectives & Colors,,,brown,,茶色,Noun; use with の for adjective,ちゃいろ,ちゃいろ
Basic Adjectives & Colors,,,purple,,紫,Noun; use with の for adjective,むらさき,むらさき
Basic Adjectives & Colors,,,pink,,ピンク,,,
Basic Adjectives & Colors,,,orange,,オレンジ,,,
Basic Adjectives & Colors,,,gray,,灰色,Noun; use with の for adjective,はいいろ,はいいろ
Grammar & Particles,The building blocks of Japanese sentences. These particles mark the function of words.,1 - Grammar,topic marker,,は,,,
Grammar & Particles,,,subject marker,,が,,,
Grammar & Particles,,,object marker,,を,,,
Grammar & Particles,,,"target marker (to, at, in)",,に,,,
Grammar & Particles,,,direction marker (towards),,へ,,,
Grammar & Particles,,,"context marker (by, with, at, in)",,で,,,
Grammar & Particles,,,possessive marker ('s),,の,,,
Grammar & Particles,,,"inclusion marker (also, too)",,も,,,
Grammar & Particles,,,"connective marker (and, with)",,と,,,
Grammar & Particles,,,question marker,,か,,,
Grammar & Particles,,,be-verb / copula,,です,,,
Grammar & Particles,,,polite verb ending,,ます,,,
Kanji Basics,Introduces fundamental N5 kanji with their meanings and common readings.,3 - Script,Sun; Day; Japan,,日,Common readings: にち、ひ、か,,
Kanji Basics,,,Moon; Month,,月,Common readings: つき、がつ,,
Kanji Basics,,,Fire,,火,Common readings: ひ、か,,
Kanji Basics,,,Tree; Wood,,木,Common readings: き、ぼく、もく,,
Kanji Basics,,,Gold; Money,,金,Common readings: きん、かね,,
Kanji Basics,,,Earth; Soil,,土,Common readings: つち、ど,,
Kanji Basics,,,Person,,人,Common readings: ひと、じん,,
Kanji Basics,,,Big; Large,,大,Common readings: おおきい、だい,,
Kanji Basics,,,Small; Little,,小,Common readings: ちいさい、しょう,,
Kanji Basics,,,Book; Origin,,本,Common readings: ほん、もと,,
Kanji Basics,,,Study; Learning,,学,Common readings: がく、まなぶ,,
Kanji Basics,,,Language; Word,,語,Common readings: ご、かたる,,
Kanji Basics,,,What,,何,Common readings: なに、なん,,
Kanji Basics,,,Above; Up,,上,Common readings: うえ、じょう,,
Kanji Basics,,,Below; Down,,下,Common readings: した、か、げ,,
Kanji Basics,,,Inside; Middle,,中,Common readings: なか、ちゅう,,
Kanji Basics,,,Before; Ahead,,先,Common readings: さき、せん,,
Kanji Basics,,,Life; Birth,,生,Common readings: せい、なま,,
Kanji Basics,,,School,,校,Common readings: こう、がっこう,,
Kanji Basics,,,Circle; Yen,,円,Common readings: えん、まる,,
Kanji Basics,,,One,,一,Common readings: いち、いつ,,
Kanji Basics,,,Two,,二,Common readings: に、ふた,,
Kanji Basics,,,Three,,三,Common readings: さん、み,,
Kanji Basics,,,Four,,四,Common readings: よん、よ,,
Kanji Basics,,,Five,,五,Common readings: ご、いつ,,
Kanji Basics,,,Six,,六,Common readings: ろく、む,,
Kanji Basics,,,Seven,,七,Common readings: なな、しち,,
Kanji Basics,,,Eight,,八,Common readings: はち、や,,
Kanji Basics,,,Nine,,九,Common readings: きゅう、ここの,,
Kanji Basics,,,Ten,,十,Common readings: じゅう、と,,
Kanji Basics,,,Hundred,,百,Common readings: ひゃく、もも,,
Kanji Basics,,,Thousand,,千,Common readings: せん、ち,,
Kanji Basics,,,Ten thousand,,万,Common readings: まん、よろず,,
Kanji Basics,,,Country,,国,Common readings: こく、くに,,
Kanji Basics,,,Year,,年,Common readings: ねん、とし,,
Kanji Basics,,,Long,,長,Common readings: ちょう、ながい,,
Kanji Basics,,,Exit/Leave,,出,Common readings: でる、だす、しゅつ,,
Kanji Basics,,,Time/Hour,,時,Common readings: じ、とき,,
Kanji Basics,,,Go/Proceed,,行,Common readings: いく、こう、ゆく,,
Kanji Basics,,,See/Look,,見,Common readings: みる、けん,,
Kanji Basics,,,After/Behind,,後,Common readings: あと、うしろ、こうご,,
Kanji Basics,,,Before/Front,,前,Common readings: まえ、ぜん,,
Kanji Basics,,,Interval/Between,,間,Common readings: あいだ、ま、かん,,
Kanji Basics,,,East,,東,Common readings: ひがし、とう,,
Kanji Basics,,,Now,,今,Common readings: いま、こん,,
Kanji Basics,,,High/Tall,,高,Common readings: たかい、こう,,
Kanji Basics,,,Child,,子,Common readings: こ、し,,
Kanji Basics,,,Outside,,外,Common readings: そと、がい,,
Kanji Basics,,,Come,,来,Common readings: くる、らい,,
Kanji Basics,,,Spirit/Air,,気,Common readings: き、け,,
Kanji Basics,,,Woman,,女,Common readings: おんな、じょ,,
Kanji Basics,,,North,,北,Common readings: きた、ほく,,
Kanji Basics,,,Noon,,午,Common readings: ご、うま,,
Kanji Basics,,,Write,,書,Common readings: かく、しょ,,
Kanji Basics,,,Name,,名,Common readings: なまえ、めい,,
Kanji Basics,,,River,,川,Common readings: かわ、せん,,
Kanji Basics,,,Water,,水,Common readings: みず、すい,,
Kanji Basics,,,Half,,半,Common readings: はん、なかば,,
Kanji Basics,,,Man/Male,,男,Common readings: おとこ、だん,,
Kanji Basics,,,West,,西,Common readings: にし、せい,,
Kanji Basics,,,Electricity,,電,Common readings: でん,でん
Kanji Basics,,,Talk/Speak,,話,Common readings: はなす、わ,,
Kanji Basics,,,South,,南,Common readings: みなみ、なん,,
Kanji Basics,,,Read,,読,Common readings: よむ、どく,,
Kanji Basics,,,Rest,,休,Common readings: やすみ、きゅう,,
Kanji Basics,,,Father,,父,Common readings: ちち、ふ,,
Kanji Basics,,,Mother,,母,Common readings: はは、ぼ,,
Kanji Basics,,,Rain,,雨,Common readings: あめ、う,,
Kanji Basics,,,Iteration mark (repeater),,々,Repeats previous kanji,々,々
Kanji Basics,,,Right,,右,Common readings: みぎ、う、ゆう,,
Kanji Basics,,,Left,,左,Common readings: ひだり、さ、しゃ,,
Kanji Basics,,,Minute/Part,,分,Common readings: ふん、わける、ぶん,,
Kanji Basics,,,Week,,週,Common readings: しゅう,しゅう
Kanji Basics,,,Every,,毎,Common readings: まい,まい
Kanji Basics,,,Day of week,,曜,Common readings: よう,よう
Basic Grammar Patterns,Essential N5 grammar constructions with examples.,1 - Grammar,Verb polite present (〜ます),,〜ます,,,
Basic Grammar Patterns,,,Verb polite negative (〜ません),,〜ません,,,
Basic Grammar Patterns,,,Verb polite past (〜ました),,〜ました,,,
Basic Grammar Patterns,,,Verb polite past negative (〜ませんでした),,〜ませんでした,,,
Basic Grammar Patterns,,,Noun + です (affirmative),,です,,,
Basic Grammar Patterns,,,Noun + ではありません (negative),,ではありません,,,
Basic Grammar Patterns,,,い-adjective present,,〜い,Basic form ending in い,,
Basic Grammar Patterns,,,い-adjective negative,,〜くありません,Polite negative; casual: 〜くない,,
Basic Grammar Patterns,,,い-adjective past,,〜かった,Change い to かった,,
Basic Grammar Patterns,,,い-adjective past negative,,〜くありませんでした,Polite; casual: 〜くなかった,,
Basic Grammar Patterns,,,な-adjective present,,〜です,Adjective + です,,
Basic Grammar Patterns,,,な-adjective negative,,〜ではありません,Formal; casual: 〜じゃない,,
Basic Grammar Patterns,,,な-adjective past,,〜でした,Adjective + でした,,
Basic Grammar Patterns,,,な-adjective past negative,,〜ではありませんでした,Formal; casual: 〜じゃなかった,,
Basic Grammar Patterns,,,Desire (〜たいです),,〜たいです,,,
Basic Grammar Patterns,,,Like (〜が好きです),,〜が好きです,Noun/activity + が好きです,〜がすきです,〜がすきです
Basic Grammar Patterns,,,Request (〜てください),,〜てください,Te-form + ください,,
Basic Grammar Patterns,,,Permission (〜てもいいですか),,〜てもいいですか,Asking for permission; te-form + もいいですか,,
Basic Grammar Patterns,,,Progressive (〜ています),,〜ています,Ongoing action; te-form + います,,
Basic Grammar Patterns,,,Sequence (〜て、〜),,〜て、〜,Connect actions with te-form,,
Basic Grammar Patterns,,,Purpose (〜に行きます),,〜に行きます,Verb stem + に + motion verb,,
Basic Grammar Patterns,,,Approximation (〜くらい/ぐらい),,〜くらい/ぐらい,About/approximately; くらい after voiceless sounds,,
Basic Grammar Patterns,,,From/Until (〜から/〜まで),,〜から〜まで,Time/place range; from X to/until Y,,
Basic Grammar Patterns,,,Existence (inanimate あります),,あります,For non-living things; there is/are,,
